input_scale,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
1,0.05,0.5,50000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,64.89,65.17,1998
1,0.05,0.5,20000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,63.87,64.03,1998
1,0.05,0.5,40000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,63.76,63.91,1998
1,0.05,0.5,30000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,63.32,63.44,420
1,0.05,0.5,30000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.94,63.01,100
1,0.05,0.5,30000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.78,62.93,50
1,0.05,0.5,30000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.66,62.81,50
1,0.05,0.5,30000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.6,62.73,420
1,0.05,0.5,30000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.56,62.7,420
1,0.05,0.5,30000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.46,62.51,100
1,0.05,0.5,30000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.33,62.47,100
1,0.05,0.5,30000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.19,62.28,420
1,0.05,0.5,50000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.16,62.47,420
1,0.05,0.5,30000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.15,62.27,1998
1,0.05,0.5,40000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.99,62.11,100
1,0.05,0.5,20000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.98,61.91,420
1,0.05,0.5,40000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.92,61.91,420
1,0.05,0.5,40000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.83,61.91,100
1,0.05,0.5,50000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.81,61.88,50
1,0.05,0.5,20000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.78,61.87,100
1,0.05,0.5,50000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.76,61.96,100
1,0.05,0.5,40000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.73,61.93,50
1,0.05,0.5,20000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.72,61.78,100
1,0.05,0.5,50000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.71,61.86,420
1,0.05,0.5,50000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.69,61.79,100
1,0.05,0.5,40000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.65,61.81,50
1,0.05,0.5,40000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.63,61.72,1998
1,0.05,0.5,20000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.63,61.69,420
1,0.05,0.5,50000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.58,61.68,50
1,0.05,0.5,20000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.53,61.6,50
1,0.05,0.5,40000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.51,61.7,420
1,0.05,0.5,10000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.5,61.47,100
1,0.05,0.5,40000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.48,61.62,50
1,0.05,0.5,50000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.45,61.51,1998
1,0.05,0.5,50000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.44,61.56,420
1,0.05,0.5,30000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.41,61.37,100
1,0.05,0.5,50000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.38,61.47,420
1,0.05,0.5,30000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.36,62.02,100
1,0.05,0.5,20000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.35,61.37,100
1,0.05,0.5,50000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.33,61.42,1998
1,0.05,0.5,40000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.29,61.3,100
1,0.05,0.5,30000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.24,61.29,1998
1,0.05,0.5,50000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.21,61.4,1998
1,0.05,0.5,50000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.19,61.3,100
1,0.05,0.5,40000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.13,61.17,100
1,0.05,0.5,20000,0.03,0.03,0.009,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.05,61.25,420
1,0.05,0.5,50000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.01,61.15,100
1,0.05,0.5,50000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.97,61.13,50
1,0.05,0.5,20000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.95,61.11,50
1,0.05,0.5,20000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.89,60.94,100
1,0.05,0.5,40000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.88,61,1998
1,0.05,0.5,20000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.88,60.99,50
1,0.05,0.5,40000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.86,61.16,1998
1,0.05,0.5,40000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.81,60.91,420
1,0.05,0.5,30000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.7,60.91,420
1,0.05,0.5,50000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.58,60.7,50
1,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.53,60.6,1998
1,0.05,0.5,60000,0.03,0.03,0.009,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.5,60.69,50
1,0.05,0.5,50000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.49,60.57,100
1,0.05,0.5,30000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.37,60.54,1998
1,0.05,0.5,60000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.36,60.51,420
1,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.33,60.48,420
1,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.28,60.38,100
1,0.05,0.5,20000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.17,60.39,1998
1,0.05,0.5,60000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.16,60.33,420
1,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.98,60.14,50
1,0.05,0.5,20000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.89,60.34,420
1,0.05,0.5,40000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.85,60.04,100
1,0.05,0.5,60000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.81,59.92,100
1,0.05,0.5,50000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.75,60.09,420
1,0.05,0.5,30000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.63,60.02,1998
1,0.05,0.5,30000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.6,59.64,1998
1,0.05,0.5,10000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.58,59.72,420
1,0.05,0.5,40000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.56,59.71,50
1,0.05,0.5,20000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.51,59.56,1998
1,0.05,0.5,20000,0.03,0.03,0.009,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.5,59.63,100
1,0.05,0.5,20000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.49,59.69,1998
1,0.05,0.5,20000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.47,59.55,420
1,0.05,0.5,30000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.45,59.56,50
1,0.05,0.5,20000,0.03,0.03,0.009,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.42,59.59,1998
1,0.05,0.5,20000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.42,59.57,420
1,0.05,0.5,60000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.33,59.45,1998
1,0.05,0.5,20000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.26,59.39,50
1,0.05,0.5,10000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.23,59.4,100
1,0.05,0.5,40000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.22,59.28,420
1,0.05,0.5,20000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.19,59.3,100
1,0.05,0.5,60000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.09,59.26,1998
1,0.05,0.5,40000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.02,59.11,1998
1,0.05,0.5,40000,0.03,0.03,0.006,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.96,59.17,420
1,0.05,0.5,60000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.92,59.02,100
1,0.05,0.5,30000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.91,59.2,50
1,0.05,0.5,30000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.87,58.92,1998
1,0.05,0.5,40000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.76,58.84,420
1,0.05,0.5,60000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.74,58.78,50
1,0.05,0.5,60000,0.03,0.03,0.002,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.73,58.85,420
1,0.05,0.5,40000,0.03,0.03,0.007,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.66,58.76,100
1,0.05,0.5,60000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.64,58.65,1998
1,0.05,0.5,10000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.58,58.71,50
1,0.05,0.5,20000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.57,60.57,50
1,0.05,0.5,10000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.54,58.67,420
1,0.05,0.5,60000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.48,58.54,100
1,0.05,0.5,10000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.37,58.57,50
1,0.05,0.5,20000,0.03,0.03,0.006,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.32,58.35,1998
1,0.05,0.5,40000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.31,58.35,420
1,0.05,0.5,60000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.29,58.35,100
1,0.05,0.5,20000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.18,58.31,1998
1,0.05,0.5,60000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.17,58.27,100
1,0.05,0.5,40000,0.03,0.03,0.006,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.15,58.3,1998
1,0.05,0.5,60000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.06,58.15,420
1,0.05,0.5,60000,0.03,0.03,0.003,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.04,58.09,50
1,0.05,0.5,60000,0.03,0.03,0.004,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.92,57.98,50
1,0.05,0.5,60000,0.03,0.03,0.008,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.78,57.94,1998
1,0.05,0.5,30000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.5,57.52,50
1,0.05,0.5,60000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.49,57.66,50
1,0.05,0.5,40000,0.03,0.03,0.006,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.43,57.58,100
1,0.05,0.5,60000,0.03,0.03,0.009,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.42,57.57,420
1,0.05,0.5,20000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.37,57.45,100
1,0.05,0.5,20000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.37,57.29,50
