lr,iterations,n_neurons,accuracy,seed,,
0.0005,5,500,90.65,2011,,
0.0005,5,500,90.72,1998,,
0.0005,5,500,90.79,420,,
0.0005,5,500,90.55,100,,
0.0005,5,500,90.1,50,,
0.0005,4,500,90.16,2011,,
0.0005,4,500,90.69,1998,,
0.0005,4,500,90.14,420,,
0.0005,4,500,89.97,100,,
0.0005,4,500,90,50,,
0.0005,3,500,89.24,2011,,
0.0005,3,500,89.9,1998,,
0.0005,3,500,89.49,420,,
0.0005,3,500,89.47,100,,
0.0005,3,500,89.33,50,,
0.0005,2,500,87.53,2011,,
0.0005,2,500,87.29,1998,,
0.0005,2,500,87.96,420,,
0.0005,2,500,87.29,100,,
0.0005,2,500,87.46,50,,
0.0005,1,500,83.05,2011,,
0.0005,1,500,82.01,1998,,
0.0005,1,500,83.92,420,,
0.0005,1,500,82.54,100,,
0.0005,1,500,82.5,50,,
0.0005,5,400,89.58,2011,,
0.0005,5,400,90.25,1998,,
0.0005,5,400,90.48,420,,
0.0005,5,400,89.8,100,,
0.0005,5,400,89.54,50,89.93,0.417252921
0.0005,4,400,89.43,2011,,
0.0005,4,400,90.03,1998,,
0.0005,4,400,90.1,420,,
0.0005,4,400,89.52,100,,
0.0005,4,400,89.86,50,,
0.0005,3,400,88.64,2011,,
0.0005,3,400,89.87,1998,,
0.0005,3,400,89.79,420,,
0.0005,3,400,88.86,100,,
0.0005,3,400,89.17,50,,
0.0005,2,400,88.13,2011,89.266,0.548935333
0.0005,2,400,87.22,1998,,
0.0005,2,400,88.36,420,,
0.0005,2,400,87.75,100,,
0.0005,2,400,87.26,50,,
0.0005,1,400,83.64,2011,,
0.0005,1,400,82,1998,,
0.0005,1,400,83.24,420,,
0.0005,1,400,83.44,100,,
0.0005,1,400,82.64,50,,
0.0005,5,300,89.59,2011,,
0.0005,5,300,88.26,1998,,
0.0005,5,300,89.6,420,,
0.0005,5,300,89.24,100,,
0.0005,5,300,89.53,50,,
0.0005,4,300,89.07,2011,,
0.0005,4,300,88.35,1998,,
0.0005,4,300,89.98,420,,
0.0005,4,300,89.84,100,,
0.0005,4,300,90.31,50,,
0.0005,3,300,88.82,2011,,
0.0005,3,300,88.5,1998,,
0.0005,3,300,89.37,420,,
0.0005,3,300,88.98,100,,
0.0005,3,300,89.77,50,,
0.0005,2,300,87.82,2011,,
0.0005,2,300,87.16,1998,,
0.0005,2,300,88.82,420,,
0.0005,2,300,87.59,100,,
0.0005,2,300,88.06,50,,
0.0005,1,300,84.54,2011,,
0.0005,1,300,82.52,1998,,
0.0005,1,300,85.19,420,,
0.0005,1,300,84.06,100,,
0.0005,1,300,83.71,50,,
0.0005,5,200,87.39,2011,,
0.0005,5,200,88.34,1998,,
0.0005,5,200,87.94,420,,
0.0005,5,200,87.64,100,,
0.0005,5,200,88.87,50,,
0.0005,4,200,87.67,2011,,
0.0005,4,200,88.03,1998,,
0.0005,4,200,87.63,420,,
0.0005,4,200,87.58,100,,
0.0005,4,200,88.72,50,,
0.0005,3,200,87.3,2011,,
0.0005,3,200,86.96,1998,,
0.0005,3,200,87.66,420,,
0.0005,3,200,86.8,100,,
0.0005,3,200,89.17,50,,
0.0005,2,200,85.82,2011,,
0.0005,2,200,86.2,1998,,
0.0005,2,200,87.56,420,,
0.0005,2,200,87.17,100,,
0.0005,2,200,88.76,50,,
0.0005,1,200,84.49,2011,,
0.0005,1,200,82.62,1998,,
0.0005,1,200,85.06,420,,
0.0005,1,200,84.65,100,,
0.0005,1,200,84.1,50,,
0.0005,5,100,85.4,2011,,
0.0005,5,100,84.95,1998,,
0.0005,5,100,86.09,420,,
0.0005,5,100,84.24,100,,
0.0005,5,100,84.39,50,85.014,0.758175441
0.0005,4,100,85.8,2011,,
0.0005,4,100,84.55,1998,,
0.0005,4,100,85.39,420,,
0.0005,4,100,84.27,100,,
0.0005,4,100,84.01,50,,
0.0005,3,100,85.65,2011,,
0.0005,3,100,83.26,1998,,
0.0005,3,100,85.57,420,,
0.0005,3,100,83.91,100,,
0.0005,3,100,85.31,50,84.74,1.086416127
0.0005,2,100,84,2011,,
0.0005,2,100,83.91,1998,,
0.0005,2,100,84.17,420,,
0.0005,2,100,83.64,100,,
0.0005,2,100,85.42,50,,
0.0005,1,100,82.74,2011,,
0.0005,1,100,82.39,1998,,
0.0005,1,100,83.26,420,,
0.0005,1,100,82.09,100,,
0.0005,1,100,82.76,50,,
0.0005,5,50,81.48,2011,,
0.0005,5,50,80.56,1998,,
0.0005,5,50,80.23,420,,
0.0005,5,50,82.41,100,,
0.0005,5,50,80.68,50,,
0.0005,4,50,81.86,2011,,
0.0005,4,50,80.76,1998,,
0.0005,4,50,80.36,420,,
0.0005,4,50,83.13,100,,
0.0005,4,50,81.29,50,,
0.0005,3,50,81.58,2011,,
0.0005,3,50,79.88,1998,,
0.0005,3,50,80.49,420,,
0.0005,3,50,82.94,100,,
0.0005,3,50,81.61,50,81.3,1.176499044
0.0005,2,50,82.13,2011,,
0.0005,2,50,78.28,1998,,
0.0005,2,50,79.38,420,,
0.0005,2,50,80.04,100,,
0.0005,2,50,80.27,50,,
0.0005,1,50,80.53,2011,,
0.0005,1,50,79,1998,,
0.0005,1,50,77.33,420,,
0.0005,1,50,79.49,100,,
0.0005,1,50,77.85,50,78.84,1.281054253
0.0005,5,20,73.58,2011,,
0.0005,5,20,73,1998,,
0.0005,5,20,72.96,420,,
0.0005,5,20,72.09,100,,
0.0005,5,20,71.16,50,,
0.0005,4,20,73.27,2011,,
0.0005,4,20,73.41,1998,,
0.0005,4,20,73.45,420,,
0.0005,4,20,70.95,100,,
0.0005,4,20,71.24,50,,
0.0005,3,20,72.61,2011,,
0.0005,3,20,73.82,1998,,
0.0005,3,20,73.74,420,,
0.0005,3,20,69.52,100,,
0.0005,3,20,71.51,50,,
0.0005,2,20,71.41,2011,,
0.0005,2,20,73.78,1998,,
0.0005,2,20,72.89,420,,
0.0005,2,20,69.21,100,,
0.0005,2,20,71.44,50,,
0.0005,1,20,70.06,2011,,
0.0005,1,20,71.71,1998,,
0.0005,1,20,70.41,420,,
0.0005,1,20,69.42,100,,
0.0005,1,20,71.02,50,,
0.0005,5,10,61.39,2011,,
0.0005,5,10,61.76,1998,,
0.0005,5,10,64.07,420,,
0.0005,5,10,61.26,100,,
0.0005,5,10,61.17,50,,
0.0005,4,10,61.31,2011,,
0.0005,4,10,61.64,1998,,
0.0005,4,10,63.98,420,,
0.0005,4,10,61.28,100,,
0.0005,4,10,61.12,50,,
0.0005,3,10,61.17,2011,,
0.0005,3,10,61.63,1998,,
0.0005,3,10,63.72,420,,
0.0005,3,10,61.34,100,,
0.0005,3,10,61.06,50,,
0.0005,2,10,61.43,2011,,
0.0005,2,10,61.91,1998,,
0.0005,2,10,61.99,420,,
0.0005,2,10,61.69,100,,
0.0005,2,10,61.21,50,,
0.0005,1,10,61.65,2011,,
0.0005,1,10,60.64,1998,,
0.0005,1,10,60.57,420,,
0.0005,1,10,62.17,100,,
0.0005,1,10,62.14,50,61.434,0.784812079